AssetID,AsOfDate,UtilType,InitialVal,UtilType,InitialVal
1,1/1/2018,Hours,3131.2,Cycles,158.5
2,1/1/2018,Hours,2101.4,Cycles,151.6
3,1/1/2018,Hours,3164.2,Cycles,120.5
4,1/1/2018,Hours,2348.2,Cycles,153.4
5,1/1/2018,Hours,3370.5,Cycles,168.9
6,1/1/2018,Hours,2557.1,Cycles,230.5
7,1/1/2018,Hours,2942.9,Cycles,195.9
8,1/1/2018,Hours,2951.9,Cycles,171.6
9,1/1/2018,Hours,2374,Cycles,128.3
10,1/1/2018,Hours,2692,Cycles,176.5
11,1/1/2018,Hours,3373,Cycles,171.6
12,1/1/2018,Hours,3448,Cycles,126.5
13,1/1/2018,Hours,3266.5,Cycles,142.1
14,1/1/2018,Hours,2098.5,Cycles,117.2
15,1/1/2018,Hours,2272.2,Cycles,211
16,1/1/2018,Hours,3119.7,Cycles,174.5
17,1/1/2018,Hours,2722.1,Cycles,246.8
18,1/1/2018,Hours,3298.6,Cycles,197.7
19,1/1/2018,Hours,3727.5,Cycles,220.9
20,1/1/2018,Hours,2672.8,Cycles,236.7
21,1/1/2018,Hours,2364.6,Cycles,173.5
22,1/1/2018,Hours,2307.8,Cycles,107
23,1/1/2018,Hours,2835.7,Cycles,208.9
24,1/1/2018,Hours,2577.4,Cycles,114.8
25,1/1/2018,Hours,3502.8,Cycles,233.2
26,1/1/2018,Hours,3113.1,Cycles,159
27,1/1/2018,Hours,2425,Cycles,118
28,1/1/2018,Hours,3656.7,Cycles,224.2
29,1/1/2018,Hours,2111.5,Cycles,140.7
30,1/1/2018,Hours,3648.5,Cycles,242.7
31,1/1/2018,Hours,3762.1,Cycles,197.6
32,1/1/2018,Hours,3626.8,Cycles,120.9
33,1/1/2018,Hours,3778.5,Cycles,112.1
34,1/1/2018,Hours,2854.4,Cycles,167.7
35,1/1/2018,Hours,2991.3,Cycles,233.7
36,1/1/2018,Hours,3624,Cycles,218.2
37,1/1/2018,Hours,3270.3,Cycles,175.9
38,1/1/2018,Hours,3932.5,Cycles,220.6
39,1/1/2018,Hours,3075,Cycles,107.9
40,1/1/2018,Hours,2336.6,Cycles,219.3
41,1/1/2018,Hours,3005.4,Cycles,137.9
42,1/1/2018,Hours,3888.4,Cycles,238.6
43,1/1/2018,Hours,3542.3,Cycles,142.4
44,1/1/2018,Hours,3229.1,Cycles,219.6
45,1/1/2018,Hours,3702.7,Cycles,127.5
46,1/1/2018,Hours,2640,Cycles,238.8
47,1/1/2018,Hours,2749.5,Cycles,239.8
48,1/1/2018,Hours,3843.9,Cycles,127.8
49,1/1/2018,Hours,3253,Cycles,166.8
50,1/1/2018,Hours,3258.7,Cycles,153.5
51,1/1/2018,Hours,3506.7,Cycles,181.5
52,1/1/2018,Hours,2777.8,Cycles,102.2
53,1/1/2018,Hours,3251.2,Cycles,122.5
54,1/1/2018,Hours,2501.6,Cycles,155.2
55,1/1/2018,Hours,2055.5,Cycles,149.2
56,1/1/2018,Hours,2648,Cycles,119.5
57,1/1/2018,Hours,2019.3,Cycles,163.3
58,1/1/2018,Hours,2876.9,Cycles,103.6
59,1/1/2018,Hours,3370.8,Cycles,115.3
60,1/1/2018,Hours,2374.5,Cycles,167.5
61,1/1/2018,Hours,3761.4,Cycles,224.5
62,1/1/2018,Hours,2944.7,Cycles,130.2
63,1/1/2018,Hours,2196.1,Cycles,202.3
64,1/1/2018,Hours,2788.7,Cycles,183.7
65,1/1/2018,Hours,3462,Cycles,143.2
66,1/1/2018,Hours,3374.6,Cycles,116.5
67,1/1/2018,Hours,3202.1,Cycles,233.9
68,1/1/2018,Hours,2714.9,Cycles,122.5
69,1/1/2018,Hours,3533.3,Cycles,174.1
70,1/1/2018,Hours,2104.3,Cycles,130
71,1/1/2018,Hours,3814.5,Cycles,132.1
72,1/1/2018,Hours,2685.6,Cycles,162.5
73,1/1/2018,Hours,3117,Cycles,151.6
74,1/1/2018,Hours,2871.2,Cycles,110.2
75,1/1/2018,Hours,2549.5,Cycles,104.3
76,1/1/2018,Hours,2234.6,Cycles,204
77,1/1/2018,Hours,3971.7,Cycles,225.2
78,1/1/2018,Hours,3853.9,Cycles,237
79,1/1/2018,Hours,3980,Cycles,145.5
80,1/1/2018,Hours,3112.5,Cycles,160.6
81,1/1/2018,Hours,3743.6,Cycles,175.9
82,1/1/2018,Hours,3504.9,Cycles,107.7
83,1/1/2018,Hours,2848.6,Cycles,159.6
84,1/1/2018,Hours,2842.8,Cycles,171.3
85,1/1/2018,Hours,3365.1,Cycles,240.4
86,1/1/2018,Hours,2244.1,Cycles,220
87,1/1/2018,Hours,2585.4,Cycles,110.5
88,1/1/2018,Hours,2397,Cycles,133.8
89,1/1/2018,Hours,3708.9,Cycles,174
