"Phase","UtilType","RateUnit","RateValue"
"A","Hours","perUnit_perDay",20
"B","Hours","perUnit_perDay",30
"C","Hours","perUnit_perDay",40
"D","Hours","perAsset_PerDay",4.2
"E","Hours","perUnit_perDay",24
"F","Hours","perUnit_perDay",18
"G","Hours","perAsset_PerDay",4.4
"H","Hours","perUnit_perDay",30
"A","Cycles","perUnit_perDay",1
"B","Cycles","perUnit_perDay",0.2
"C","Cycles","perUnit_perDay",1
"D","Cycles","perAsset_PerDay",2.4
"E","Cycles","perUnit_perDay",0.2
"F","Cycles","perUnit_perDay",0
"G","Cycles","perAsset_PerDay",0
"H","Cycles","perUnit_perDay",0.5
