id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,33,3,9,0,0.0,0.0,0,0
B,33,1,10,0,0.0,0.0,0,0
C,33,0,12,-5,0,0,-5445,-5445
D,33,1,10,0,0.0,0.0,-5445,-10890
E,33,6,7,-2,0,0,-7623,-18513
F,33,3,9,2,4.125,4.125,-5445,-23958
G,33,3,9,0,0.0,0.0,-5445,-29403
H,33,0,12,2,5.499999999999999,5.499999999999999,-3267,-32670
I,33,4,12,1,2.7500000000000013,2.7500000000000013,-2178,-34848
J,33,8,30,3,3.2999999999999994,3.2999999999999994,1089,-33759
A,99,3,9,0,0.0,0.0,0,-33759
B,99,1,10,0,0.0,0.0,0,-33759
C,99,0,12,-5,0,0,-32670,-66429
D,99,1,10,0,0.0,0.0,-32670,-99099
E,99,6,7,1,9.428571428571432,9.428571428571432,-26136,-125235
F,99,3,9,1,7.333333333333337,11.458333333333336,-19602,-144837
G,99,1,10,2,7.333333333333337,7.333333333333337,-6534,-151371
H,99,0,12,0,0.0,5.499999999999999,-6534,-157905
I,99,4,12,1,5.500000000000003,8.250000000000004,0,-157905
J,99,8,30,2,4.399999999999999,7.6999999999999975,13068,-144837
A,104,1,10,2,0.5555555555555558,0.5555555555555558,1040,-143797
B,104,1,10,0,0.0,0.0,1040,-142757
C,104,0,12,-5,0,0,-1560,-144317
D,104,1,10,0,0.0,0.0,-1560,-145877
E,104,6,7,2,1.4285714285714284,10.857142857142861,-520,-146397
F,104,3,9,1,0.5555555555555558,12.013888888888891,0,-146397
G,104,1,10,0,0.0,7.333333333333337,0,-146397
H,104,0,12,0,0.0,5.499999999999999,0,-146397
I,104,4,12,1,0.41666666666666685,8.66666666666667,520,-145877
J,104,8,30,2,0.33333333333333326,8.033333333333331,1560,-144317
A,128,1,10,0,0.0,0.5555555555555558,0,-144317
B,128,1,10,0,0.0,0.0,0,-144317
C,128,0,12,-5,0,0,-15360,-159677
D,128,1,10,0,0.0,0.0,-15360,-175037
E,128,6,7,3,10.285714285714286,21.142857142857146,-6144,-181181
F,128,3,9,1,2.666666666666668,14.680555555555559,-3072,-184253
G,128,1,10,0,0.0,7.333333333333337,-3072,-187325
H,128,4,12,0,0.0,5.499999999999999,-3072,-190397
I,128,4,12,1,2.000000000000001,10.666666666666671,0,-190397
J,128,8,30,3,2.3999999999999995,10.43333333333333,9216,-181181
A,129,1,10,0,0.0,0.5555555555555558,0,-181181
B,129,0,12,2,0.0,0.0,258,-180923
C,129,0,12,-5,0,0,-387,-181310
D,129,1,10,0,0.0,0.0,-387,-181697
E,129,6,7,2,0.2857142857142857,21.42857142857143,-129,-181826
F,129,3,9,1,0.11111111111111116,14.79166666666667,0,-181826
G,129,1,10,0,0.0,7.333333333333337,0,-181826
H,129,4,12,1,0.08333333333333337,5.583333333333332,129,-181697
I,129,4,12,1,0.08333333333333337,10.750000000000005,258,-181439
J,129,8,30,3,0.09999999999999998,10.53333333333333,645,-180794
A,135,1,10,0,0.0,0.5555555555555558,0,-180794
B,135,0,12,0,0.0,0.0,0,-180794
C,135,0,12,-5,0,0,-4050,-184844
D,135,1,10,0,0.0,0.0,-4050,-188894
E,135,6,7,2,1.7142857142857142,23.142857142857146,-2430,-191324
F,135,1,10,2,0.666666666666667,15.458333333333336,-810,-192134
G,135,1,10,0,0.0,7.333333333333337,-810,-192944
H,135,4,12,2,0.9999999999999998,6.583333333333332,810,-192134
I,135,4,12,1,0.5000000000000002,11.250000000000005,1620,-190514
J,135,8,30,4,0.7999999999999998,11.333333333333329,4860,-185654
A,138.47619047619057,1,10,0,0.0,0.5555555555555558,0.0,-185654.0
B,138.47619047619057,0,12,1,0.0,0.0,4015.8095238095266,-181638.19047619047
C,138.47619047619057,0,12,-5,0.0,0.0,-16063.238095238106,-197701.42857142858
D,138.47619047619057,1,10,0,0.0,0.0,-16063.238095238106,-213764.6666666667
E,138.47619047619057,6,7,3,1.489795918367386,24.63265306122453,-4015.8095238095266,-217780.4761904762
F,138.47619047619057,1,10,0,0.0,15.458333333333336,-4015.8095238095266,-221796.28571428574
G,138.47619047619057,1,10,0,0.0,7.333333333333337,-4015.8095238095266,-225812.09523809527
H,138.47619047619057,4,12,2,0.5793650793650944,7.162698412698426,4015.8095238095266,-221796.28571428574
I,138.47619047619057,4,12,2,0.5793650793650944,11.8293650793651,12047.428571428578,-209748.85714285716
J,138.47619047619057,8,30,4,0.4634920634920755,11.796825396825405,28110.666666666686,-181638.19047619047
A,149.24107142857142,1,10,0,0.0,0.5555555555555558,0.0,-181638.19047619047
B,149.24107142857142,0,12,0,0.0,0.0,0.0,-181638.19047619047
C,149.24107142857142,0,12,-5,0.0,0.0,-19046.003401360475,-200684.19387755095
D,149.24107142857142,1,10,0,0.0,0.0,-19046.003401360475,-219730.19727891142
E,149.24107142857142,6,7,3,4.613520408163222,29.246173469387752,-7618.40136054419,-227348.59863945562
F,149.24107142857142,1,10,1,0.0,15.458333333333336,-3809.200680272095,-231157.79931972772
G,149.24107142857142,1,10,0,0.0,7.333333333333337,-3809.200680272095,-234966.99999999983
H,149.24107142857142,4,12,2,1.7941468253968078,8.956845238095234,3809.200680272095,-231157.79931972772
I,149.24107142857142,4,12,2,1.7941468253968078,13.623511904761909,11427.602040816284,-219730.19727891145
J,149.24107142857142,8,30,5,1.7941468253968078,13.590972222222213,30473.60544217676,-189256.5918367347
A,159.0631313131311,1,10,0,0.0,0.5555555555555558,0.0,-189256.5918367347
B,159.0631313131311,0,12,0,0.0,0.0,0.0,-189256.5918367347
C,159.0631313131311,0,12,-5,0.0,0.0,-11738.006966991336,-200994.59880372602
