id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,33,3,9,2,7.333333333333333,7.333333333333333,2178,2178
B,33,1,10,5,16.5,16.5,7623,9801
C,33,0,12,7,19.249999999999996,19.249999999999996,15246,25047
D,33,1,10,4,13.200000000000001,13.200000000000001,19602,44649
E,33,6,7,2,9.428571428571429,9.428571428571429,21780,66429
F,33,3,9,6,20.625,20.625,28314,94743
G,33,3,9,4,14.666666666666666,14.666666666666666,32670,127413
H,33,0,12,3,8.25,8.25,35937,163350
I,33,4,12,5,13.749999999999998,13.749999999999998,41382,204732
J,33,8,30,12,13.200000000000001,13.200000000000001,54450,259182
A,74.83333333333334,3,9,6,27.8888888888889,35.222222222222236,29634.000000000004,288816.0
B,74.83333333333334,1,10,1,4.183333333333334,20.683333333333334,34573.0,323389.0
C,74.83333333333334,0,12,0,0.0,19.249999999999996,34573.0,357962.0
D,74.83333333333334,1,10,1,4.183333333333334,17.383333333333333,39512.00000000001,397474.0
E,74.83333333333334,6,7,7,41.83333333333334,51.26190476190477,74085.00000000001,471559.0
F,74.83333333333334,3,9,6,23.240740740740748,43.86574074074075,103719.00000000001,575278.0
G,74.83333333333334,3,9,6,27.8888888888889,42.555555555555564,133353.00000000003,708631.0
H,74.83333333333334,0,12,0,0.0,8.25,133353.00000000003,841984.0
I,74.83333333333334,4,12,8,27.8888888888889,41.6388888888889,172865.00000000003,1014849.0
J,74.83333333333334,8,30,16,22.311111111111117,35.51111111111112,251889.00000000003,1266738.0
A,86.08499999999998,3,9,5,6.25092592592591,41.47314814814815,10401.937499999993,1277139.9375
B,86.08499999999998,1,10,1,1.1251666666666633,21.808499999999995,12482.324999999992,1289622.2625
C,86.08499999999998,0,12,0,0.0,19.249999999999996,12482.324999999992,1302104.5875
D,86.08499999999998,1,10,2,2.2503333333333266,19.63366666666666,16643.09999999999,1318747.6875
E,86.08499999999998,6,7,7,11.251666666666637,62.51357142857141,31205.812499999978,1349953.5
F,86.08499999999998,3,9,6,7.501111111111092,51.36685185185184,43688.137499999975,1393641.6375
G,86.08499999999998,3,9,7,7.501111111111092,50.05666666666666,58250.849999999955,1451892.4874999998
H,86.08499999999998,0,12,0,0.0,8.25,58250.849999999955,1510143.3374999997
I,86.08499999999998,4,12,8,7.501111111111092,49.13999999999999,74893.94999999995,1585037.2874999996
J,86.08499999999998,8,30,16,6.0008888888888725,41.51199999999999,108180.14999999994,1693217.4374999995
A,97.25833333333334,3,9,5,6.207407407407422,47.68055555555557,6280.45687500001,1699497.8943749995
B,97.25833333333334,1,10,3,2.2346666666666715,24.043166666666668,10048.731000000016,1709546.6253749994
C,97.25833333333334,0,12,0,0.0,19.249999999999996,10048.731000000016,1719595.3563749993
D,97.25833333333334,1,10,2,2.2346666666666715,21.868333333333332,12560.91375000002,1732156.2701249993
E,97.25833333333334,6,7,7,11.17333333333336,73.68690476190477,21353.553375000036,1753509.8234999995
F,97.25833333333334,3,9,6,7.4488888888889075,58.81574074074075,28890.101625000047,1782399.9251249996
G,97.25833333333334,3,9,6,7.4488888888889075,57.50555555555557,36426.64987500006,1818826.5749999997
H,97.25833333333334,0,12,0,0.0,8.25,36426.64987500006,1855253.2248749998
I,97.25833333333334,4,12,8,7.4488888888889075,56.5888888888889,46475.380875000075,1901728.6057499999
J,97.25833333333334,8,30,16,5.959111111111126,47.47111111111112,66572.8428750001,1968301.448625
A,99,3,9,6,1.1611111111111068,48.841666666666676,1034.549999999996,1969335.998625
B,99,1,10,2,0.34833333333333194,24.3915,1379.3999999999946,1970715.398625
C,99,0,12,0,0.0,19.249999999999996,1379.3999999999946,1972094.7986249998
D,99,1,10,2,0.34833333333333194,22.216666666666665,1724.2499999999934,1973819.0486249998
E,99,6,7,7,1.74166666666666,75.42857142857143,2931.224999999989,1976750.273625
F,99,3,9,6,1.1611111111111068,59.976851851851855,3965.774999999985,1980716.0486249998
G,99,1,10,7,1.1611111111111068,58.66666666666667,5172.74999999998,1985888.7986249998
H,99,0,12,0,0.0,8.25,5172.74999999998,1991061.5486249998
I,99,4,12,8,1.1611111111111068,57.75000000000001,6552.149999999975,1997613.6986249997
J,99,8,30,16,0.9288888888888853,48.400000000000006,9310.949999999964,2006924.6486249997
A,99.83333333333334,3,9,7,0.6481481481481556,49.48981481481483,3494.166666666667,2010418.8152916664
B,99.83333333333334,1,10,2,0.16666666666666852,24.55816666666667,4492.500000000001,2014911.3152916664
C,99.83333333333334,0,12,0,0.0,19.249999999999996,4492.500000000001,2019403.8152916664
D,99.83333333333334,1,10,2,0.16666666666666852,22.383333333333333,5490.833333333334,2024894.6486249997
E,99.83333333333334,6,7,7,0.8333333333333428,76.26190476190477,8985.000000000002,2033879.6486249997
F,99.83333333333334,3,9,6,0.6481481481481556,60.62500000000001,11980.0,2045859.6486249997
G,99.83333333333334,1,10,2,0.16666666666666852,58.83333333333334,12978.333333333336,2058837.981958333
H,99.83333333333334,0,12,0,0.0,8.25,12978.333333333336,2071816.3152916662
