('12', 'E', 'F', 33, 4.5)
('15', 'E', 'F', 33, 6.0)
('2', 'J', 'G', 99, 10.0)
('5', 'J', 'B', 129, 8)
('20', 'E', 'F', 135, 9.0)
('9', 'J', 'B', 149.64502164502176, 8)
('7', 'D', 'J', 149.64502164502176, 3.125)
('7', 'J', 'F', 159.86607142857144, 8.0)
('26', 'E', 'J', 159.86607142857144, 2.75)
('26', 'J', 'A', 164, 8)
('14', 'J', 'A', 164, 8)
('1', 'I', 'J', 164, 1.5)
('13', 'D', 'J', 164, 2.125)
('1', 'J', 'B', 171.7521645021647, 8)
('60', 'E', 'J', 171.7521645021647, 1.75)
('60', 'J', 'H', 179.7972222222227, 2.0)
('8', 'I', 'H', 179.7972222222227, 2.0)
('16', 'D', 'J', 179.7972222222227, 1.125)
('28', 'D', 'G', 198.71250000000003, 9.0)
('16', 'J', 'G', 203.65000000000003, 8.0)
('56', 'D', 'J', 203.65000000000003, 2.75)
('56', 'J', 'G', 209.35957403707437, 8.0)
('8', 'H', 'J', 209.35957403707437, 3.5)
('8', 'J', 'A', 226.2619047619048, 8)
('13', 'J', 'A', 226.2619047619048, 8)
('60', 'H', 'J', 226.2619047619048, 1.5)
('64', 'D', 'J', 226.2619047619048, 1.75)
('60', 'J', 'A', 240.547619047619, 8)
('56', 'G', 'J', 240.547619047619, 3.125)
('56', 'J', 'F', 263, 8)
('6', 'C', 'J', 263, 9.125)
('6', 'J', 'F', 271.4608843537415, 8)
('36', 'C', 'J', 271.4608843537415, 8.125)
('37', 'C', 'D', 271.96196336071375, 7.166666666666667)
('44', 'C', 'E', 277.69488861832633, 6.166666666666667)
('36', 'J', 'G', 286.4163808142746, 8)
('52', 'C', 'J', 286.4163808142746, 5.125)
('52', 'J', 'G', 292.6917687860911, 8)
('71', 'C', 'J', 292.6917687860911, 4.125)
('83', 'C', 'D', 293.370296694047, 3.1666666666666665)
('71', 'J', 'F', 305.74651339232435, 8)
('85', 'C', 'J', 305.74651339232435, 2.125)
('85', 'J', 'B', 343.36899608328224, 8)
('60', 'A', 'J', 343.36899608328224, 4.125)
('85', 'B', 'H', 383.90451180168895, 5.25)
('8', 'A', 'I', 410.01040903540917, 8.5)
('13', 'A', 'E', 470.8224377705624, 7.5)
('14', 'A', 'E', 477, 7.0)
('1', 'B', 'H', 550.904511801688, 8.5)
('60', 'J', 'I', 566.3969574652045, 8)
('9', 'B', 'J', 566.3969574652045, 6.75)
('5', 'B', 'E', 579, 11.0)
('26', 'A', 'J', 617.9052419354856, 4.75)
('26', 'J', 'G', 622.4501089844922, 8.0)
('4', 'B', 'G', 622.4501089844922, 10.0)
('88', 'C', 'J', 622.4501089844922, 4.75)
('88', 'J', 'F', 640.5163785856719, 8.0)
('11', 'A', 'F', 640.5163785856719, 9.0)
('23', 'B', 'J', 640.5163785856719, 3.75)
('23', 'J', 'E', 673, 8)
('11', 'F', 'J', 683.8760405827275, 9.75)
('4', 'G', 'J', 694.7260405827278, 9.75)
('88', 'F', 'D', 701, 14.0)
('26', 'G', 'B', 719.3531454983777, 3.0)
('52', 'G', 'B', 719.3531454983777, 3.3333333333333335)
('71', 'F', 'B', 719.3531454983777, 4.0)
('36', 'G', 'B', 719.3531454983777, 7.0)
('6', 'F', 'D', 725.4398822295287, 11.0)
('26', 'B', 'D', 748.8292216186899, 12.0)
('4', 'J', 'E', 758.227529331402, 8)
('11', 'J', 'E', 758.227529331402, 8)
('9', 'J', 'E', 758.227529331402, 8)
('64', 'J', 'E', 758.227529331402, 8)
('36', 'B', 'J', 758.227529331402, 3.25)
('56', 'F', 'J', 758.227529331402, 5.75)
('16', 'G', 'C', 761.7270201441479, 1.8333333333333335)
('52', 'B', 'C', 761.7270201441479, 1.8)
('28', 'G', 'C', 761.7270201441479, 2.0)
('7', 'F', 'C', 761.7270201441479, 2.333333333333333)
('71', 'B', 'C', 761.7270201441479, 2.5)
('20', 'F', 'C', 761.7270201441479, 4.0)
('2', 'G', 'C', 771, 4.5)
('36', 'J', 'D', 780.2418382808795, 8.0)
('12', 'F', 'D', 780.2418382808795, 8.0)
('1', 'H', 'J', 780.2418382808795, 3.5)
('2', 'C', 'A', 811.8459147286922, 3.1666666666666665)
('7', 'C', 'A', 811.8459147286922, 4.0)
('16', 'C', 'A', 811.8459147286922, 6.5)
('20', 'C', 'J', 825.6323836295192, 5.375)
('2', 'A', 'J', 861.947383629519, 5.75)
('4', 'E', 'H', 1018.3324974318069, 6.25)
('2', 'J', 'B', 1037, 8.0)
('9', 'E', 'J', 1037, 5.125)
('11', 'E', 'I', 1107.5742886245098, 3.25)
('64', 'E', 'I', 1107.5742886245098, 3.5)
('23', 'E', 'I', 1107.5742886245098, 4.0)
('5', 'E', 'I', 1107.5742886245098, 5.5)
('9', 'J', 'A', 1108, 8)
('14', 'E', 'I', 1127.5077335860376, 4.5)
('20', 'J', 'B', 1152, 8)
('1', 'J', 'B', 1152, 8)
('14', 'I', 'J', 1152, 6.5)
('5', 'I', 'F', 1160, 7.333333333333333)
('11', 'I', 'G', 1238, 9.0)
('12', 'D', 'F', 1264, 13.0)
('36', 'D', 'J', 1337.9347144913845, 6.75)
('28', 'C', 'J', 1342.6347144913843, 6.75)
('28', 'J', 'G', 1441, 8)
('36', 'J', 'G', 1441, 8)
('14', 'J', 'F', 1443, 8)
('56', 'J', 'F', 1443, 8)
('52', 'C', 'J', 1443, 3.25)
('26', 'D', 'J', 1443, 5.75)
('9', 'A', 'J', 1478.971657738899, 5.75)
('7', 'A', 'J', 1480.4216577388988, 4.75)
('1', 'B', 'E', 1669, 11.0)
('7', 'J', 'E', 1762, 8)
('9', 'J', 'E', 1762, 8)
('26', 'J', 'D', 1900, 8)
('14', 'F', 'J', 1900, 5.75)
('14', 'J', 'A', 2118, 8)
('52', 'J', 'A', 2118, 8)
('7', 'E', 'J', 2118, 3.25)
('28', 'G', 'J', 2118, 5.75)
('7', 'J', 'C', 2147, 8)
('9', 'E', 'J', 2147, 4.75)
('9', 'J', 'B', 2276, 8)
('26', 'D', 'J', 2276, 5.75)
('6', 'D', 'J', 2445.7545783237642, 1.0)
('1', 'E', 'J', 2445.7545783237642, 0.95)
('88', 'D', 'J', 2445.7545783237642, 0.9642857142857143)
('13', 'E', 'J', 2445.7545783237642, 0.9038461538461539)
('83', 'D', 'J', 2445.7545783237642, 0.9166666666666666)
('23', 'I', 'J', 2445.7545783237642, 0.8636363636363636)
('44', 'E', 'J', 2445.7545783237642, 0.85)
('37', 'D', 'J', 2445.7545783237642, 0.8611111111111112)
('64', 'I', 'J', 2445.7545783237642, 0.875)
('4', 'H', 'J', 2445.7545783237642, 0.9285714285714286)
('60', 'I', 'J', 2445.7545783237642, 0.8333333333333333)
('85', 'H', 'J', 2445.7545783237642, 0.9)
('8', 'I', 'J', 2445.7545783237642, 0.75)
('3', 'H', 'J', 2445.7545783237642, 0.8333333333333333)
('7', 'C', 'J', 2445.7545783237642, 1.125)
('14', 'A', 'J', 2445.7545783237642, 2.125)
('1', 'J', 'F', 2517, 8)
('3', 'J', 'G', 2525, 8)
('4', 'J', 'E', 2534, 16.0)
('6', 'J', 'E', 2572, 15.666666666666666)
('7', 'J', 'D', 2610, 14.0)
('8', 'J', 'D', 2640, 13.666666666666666)
('13', 'J', 'E', 2651, 18.0)
('14', 'J', 'D', 2738, 17.0)
('23', 'J', 'D', 2783, 8)
('37', 'J', 'D', 2783, 8)
('44', 'J', 'E', 2846, 8)
('60', 'J', 'E', 2846, 8)
('17', 'H', 'C', 3099, 100)
('10', 'I', 'A', 3155, 100)
['12', 'F', 'EOL', 3182.5455962993747, 0]
['38', 'F', 'EOL', 3190.600815869353, 0]
['132', 'E', 'EOL', 3249.7622978900445, 0]
['42', 'B', 'EOL', 3298.5429896592022, 0]
('19', 'H', 'B', 3298.5429896592022, 100)
['43', 'G', 'EOL', 3300.6476162128565, 0]
['36', 'G', 'EOL', 3309.073570950047, 0]
['25', 'G', 'EOL', 3310.3908848253277, 0]
['6', 'E', 'EOL', 3310.602810309369, 0]
['16', 'A', 'EOL', 3311.4223600525156, 0]
('22', 'I', 'A', 3311.4223600525156, 100)
['45', 'B', 'EOL', 3320.650132516345, 0]
('29', 'H', 'B', 3320.650132516345, 100)
['133', 'D', 'EOL', 3339.0036966015887, 0]
['131', 'A', 'EOL', 3339.6064567870876, 0]
('31', 'H', 'A', 3339.6064567870876, 100)
['49', 'A', 'EOL', 3353.892171072801, 0]
('46', 'H', 'A', 3353.892171072801, 100)
['136', 'D', 'EOL', 3368.4401549349236, 0]
['39', 'F', 'EOL', 3371.329982536018, 0]
['5', 'F', 'EOL', 3396.767235879678, 0]
['127', 'D', 'EOL', 3404.632119220636, 0]
('48', 'I', 'G', 3415, 110.0)
['34', 'G', 'EOL', 3415.1882440948802, 0]
('50', 'I', 'G', 3415.1882440948802, 109.0)
['140', 'E', 'EOL', 3416.7932535645273, 0]
['24', 'A', 'EOL', 3430.4921834505426, 0]
('63', 'I', 'F', 3433, 41.333333333333336)
['27', 'A', 'EOL', 3450.945373690008, 0]
['40', 'G', 'EOL', 3479.9132440948797, 0]
('47', 'H', 'G', 3479.9132440948797, 107.0)
['135', 'E', 'EOL', 3489.082408224971, 0]
['124', 'B', 'EOL', 3491.494166970593, 0]
['11', 'G', 'EOL', 3504.645007299752, 0]
('73', 'I', 'G', 3504.645007299752, 107.0)
['15', 'F', 'EOL', 3514.483636637835, 0]
('57', 'H', 'F', 3514.483636637835, 39.333333333333336)
['13', 'E', 'EOL', 3515.0292155639386, 0]
['7', 'D', 'EOL', 3521.3280960241464, 0]
('80', 'I', 'F', 3530, 106.0)
('62', 'H', 'G', 3569, 100)
('78', 'H', 'G', 3569, 100)
['126', 'C', 'EOL', 3587.934347737013, 0]
['37', 'D', 'EOL', 3596.2445143645855, 0]
['44', 'E', 'EOL', 3596.3096177456023, 0]
('84', 'I', 'E', 3596.3096177456023, 21.666666666666668)
['1', 'F', 'EOL', 3627.083173638726, 0]
('64', 'J', 'F', 3627.083173638726, 134.0)
('83', 'J', 'D', 3642, 58.0)
('85', 'J', 'F', 3650, 100)
('88', 'J', 'F', 3650, 100)
