id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,33,3,9,-1,0,0,-1089,-1089
B,33,1,10,-1,0,0,-2178,-3267
C,33,0,12,-7,0,0,-9801,-13068
D,33,1,10,-3,0,0,-13068,-26136
E,33,6,7,-5,0,0,-18513,-44649
F,33,3,9,2,4.125,4.125,-16335,-60984
G,33,3,9,0,0.0,0.0,-16335,-77319
H,33,0,12,-1,0,0,-17424,-94743
I,33,4,12,-2,0,0,-19602,-114345
J,33,8,30,-2,0,0,-21780,-136125
A,99,3,9,-1,0,0,-6534,-142659
B,99,1,10,-1,0,0,-13068,-155727
C,99,0,12,-7,0,0,-58806,-214533
D,99,1,10,-3,0,0,-78408,-292941
E,99,6,7,-3,0,0,-98010,-390951
F,99,3,9,0,0.0,4.125,-98010,-488961
G,99,1,10,1,0.0,0.0,-91476,-580437
H,99,0,12,-1,0,0,-98010,-678447
I,99,4,12,-2,0,0,-111078,-789525
J,99,8,30,-2,0,0,-124146,-913671
A,104,1,10,0,0,0,0,-913671
B,104,1,10,-1,0,0,-520,-914191
C,104,0,12,-7,0,0,-4160,-918351
D,104,1,10,-3,0,0,-5720,-924071
E,104,6,7,-3,0,0,-7280,-931351
F,104,3,9,0,0.0,4.125,-7280,-938631
G,104,1,10,0,0.0,0.0,-7280,-945911
H,104,0,12,-1,0,0,-7800,-953711
I,104,4,12,-2,0,0,-8840,-962551
J,104,8,30,-1,0,0,-9360,-971911
A,128,1,10,0,0.0,0.0,0,-971911
B,128,1,10,-1,0,0,-3072,-974983
C,128,0,12,-7,0,0,-24576,-999559
D,128,1,10,-3,0,0,-33792,-1033351
E,128,6,7,-3,0,0,-43008,-1076359
F,128,3,9,0,0.0,4.125,-43008,-1119367
G,128,1,10,0,0.0,0.0,-43008,-1162375
H,128,4,12,-1,0,0,-46080,-1208455
I,128,4,12,-2,0,0,-52224,-1260679
J,128,8,30,-1,0,0,-55296,-1315975
A,129,1,10,0,0.0,0.0,0,-1315975
B,129,0,12,1,0,0,129,-1315846
C,129,0,12,-7,0,0,-774,-1316620
D,129,1,10,-3,0,0,-1161,-1317781
E,129,6,7,-3,0,0,-1548,-1319329
F,129,3,9,0,0.0,4.125,-1548,-1320877
G,129,1,10,0,0.0,0.0,-1548,-1322425
H,129,4,12,-1,0,0,-1677,-1324102
I,129,4,12,-2,0,0,-1935,-1326037
J,129,8,30,-1,0,0,-2064,-1328101
A,135,1,10,0,0.0,0.0,0,-1328101
B,135,0,12,0,0.0,0.0,0,-1328101
C,135,0,12,-7,0,0,-5670,-1333771
D,135,1,10,-3,0,0,-8100,-1341871
E,135,6,7,-3,0,0,-10530,-1352401
F,135,1,10,1,0.0,4.125,-9720,-1362121
G,135,1,10,0,0.0,0.0,-9720,-1371841
H,135,4,12,-1,0,0,-10530,-1382371
I,135,4,12,-2,0,0,-12150,-1394521
J,135,8,30,0,0.0,0.0,-12150,-1406671
A,149.64502164502176,1,10,0,0.0,0.0,0.0,-1406671.0
B,149.64502164502176,0,12,1,0.0,0.0,4339.705627705631,-1402331.2943722943
C,149.64502164502176,0,12,-7,0.0,0.0,-26038.233766233785,-1428369.528138528
D,149.64502164502176,1,10,-3,0.0,0.0,-39057.35064935067,-1467426.878787879
E,149.64502164502176,6,7,-2,0.0,0.0,-47736.761904761945,-1515163.6406926408
F,149.64502164502176,1,10,0,0.0,4.125,-47736.761904761945,-1562900.4025974027
G,149.64502164502176,1,10,0,0.0,0.0,-47736.761904761945,-1610637.1645021646
H,149.64502164502176,4,12,-1,0.0,0.0,-52076.46753246757,-1662713.6320346321
I,149.64502164502176,4,12,-2,0.0,0.0,-60755.87878787884,-1723469.510822511
J,149.64502164502176,8,30,0,0.0,0.0,-60755.87878787884,-1784225.38961039
A,159.86607142857144,1,10,0,0.0,0.0,0.0,-1784225.38961039
B,159.86607142857144,0,12,0,0.0,0.0,0.0,-1784225.38961039
C,159.86607142857144,0,12,-7,0.0,0.0,-16064.117965367841,-1800289.5075757578
D,159.86607142857144,1,10,-2,0.0,0.0,-20653.865955472942,-1820943.3735312307
E,159.86607142857144,6,7,-2,0.0,0.0,-25243.613945578036,-1846186.9874768087
F,159.86607142857144,1,10,1,0.0,4.125,-22948.739950525487,-1869135.7274273343
G,159.86607142857144,1,10,0,0.0,0.0,-22948.739950525487,-1892084.4673778599
H,159.86607142857144,4,12,-1,0.0,0.0,-25243.613945578036,-1917328.0813234379
I,159.86607142857144,4,12,-2,0.0,0.0,-29833.361935683137,-1947161.443259121
J,159.86607142857144,8,30,0,0.0,0.0,-29833.361935683137,-1976994.805194804
A,163.80952380952394,1,10,0,0.0,0.0,0.0,-1976994.805194804
B,163.80952380952394,0,12,0,0.0,0.0,0.0,-1976994.805194804
C,163.80952380952394,0,12,-6,0.0,0.0,-4063.061224489783,-1981057.8664192937
D,163.80952380952394,1,10,-2,0.0,0.0,-5417.414965986378,-1986475.28138528
E,163.80952380952394,6,7,-1,0.0,0.0,-6094.591836734674,-1992569.8732220146
F,163.80952380952394,1,10,0,0.0,4.125,-6094.591836734674,-1998664.4650587493
G,163.80952380952394,1,10,0,0.0,0.0,-6094.591836734674,-2004759.056895484
H,163.80952380952394,4,12,-1,0.0,0.0,-6771.768707482972,-2011530.825602967
I,163.80952380952394,4,12,-2,0.0,0.0,-8126.122448979566,-2019656.9480519467
J,163.80952380952394,8,30,0,0.0,0.0,-8126.122448979566,-2027783.0705009263
A,164,0,12,2,0.0,0.0,62.476190476148304,-2027720.5943104501
B,164,0,12,0,0.0,0.0,62.476190476148304,-2027658.118119974
C,164,0,12,-6,0.0,0.0,-124.95238095229661,-2027783.070500926
D,164,1,10,-2,0.0,0.0,-187.4285714284449,-2027970.4990723545
E,164,6,7,-1,0.0,0.0,-218.66666666651906,-2028189.165739021
F,164,1,10,0,0.0,4.125,-218.66666666651906,-2028407.8324056875
G,164,1,10,0,0.0,0.0,-218.66666666651906,-2028626.499072354
H,164,4,12,-1,0.0,0.0,-249.90476190459322,-2028876.4038342587
I,164,4,12,-2,0.0,0.0,-312.3809523807415,-2029188.7847866395
J,164,8,30,0,0.0,0.0,-312.3809523807415,-2029501.1657390203
A,168.26388888888926,0,12,0,0.0,0.0,0.0,-2029501.1657390203
B,168.26388888888926,0,12,0,0.0,0.0,0.0,-2029501.1657390203
C,168.26388888888926,0,12,-6,0.0,0.0,-27258.75000000006,-2056759.9157390203
D,168.26388888888926,1,10,-1,0.0,0.0,-31801.875000000073,-2088561.7907390203
E,168.26388888888926,6,7,-1,0.0,0.0,-36345.00000000008,-2124906.7907390203
F,168.26388888888926,1,10,0,0.0,4.125,-36345.00000000008,-2161251.7907390203
G,168.26388888888926,1,10,0,0.0,0.0,-36345.00000000008,-2197596.7907390203
