('30', 'J', 'H', 33, 8)
('2', 'J', 'H', 33, 8)
('15', 'E', 'B', 33, 6.0)
('26', 'E', 'F', 33, 1.75)
('60', 'E', 'D', 33, 4.0)
('87', 'E', 'B', 33, 3.0)
('54', 'A', 'F', 33, 0.6666666666666667)
('1', 'I', 'J', 33, 0.25)
('12', 'E', 'J', 33, 0.1785714285714286)
('1', 'J', 'G', 99, 6.0)
('12', 'J', 'G', 99, 4.5)
('54', 'F', 'G', 99, 1.0)
('99', 'A', 'F', 99, 0.33333333333333337)
('15', 'B', 'A', 99, 0.3333333333333333)
('60', 'D', 'B', 99, 1.0)
('22', 'I', 'D', 99, 1.0)
('20', 'E', 'I', 99, 0.25)
('35', 'J', 'A', 104, 5.333333333333334)
('53', 'J', 'A', 104, 3.5)
('20', 'I', 'J', 104, 0.2)
('99', 'F', 'J', 104, 0.1527777777777778)
('1', 'G', 'I', 104, 0.25)
('22', 'D', 'E', 104, 0.16666666666666666)
('60', 'B', 'D', 104, 1.0)
['38', 'F', 'MA', 123.49285714285716, 0]
('22', 'E', 'F', 123.49285714285716, 0.75)
('1', 'I', 'B', 123.49285714285716, 1.0)
('60', 'D', 'I', 123.49285714285716, 0.25)
('30', 'H', 'D', 128, 4.0)
('2', 'H', 'E', 128, 0.5)
('57', 'H', 'F', 128, 0.6666666666666666)
('1', 'B', 'G', 128, 1.0)
('60', 'I', 'B', 128, 1.0)
('3', 'H', 'I', 128, 0.25)
['42', 'B', 'MA', 128.53412698412706, 0]
('1', 'G', 'B', 128.53412698412706, 1.0)
('57', 'F', 'G', 128.53412698412706, 1.0)
('30', 'D', 'F', 128.53412698412706, 0.3333333333333333)
('3', 'I', 'D', 128.53412698412706, 1.0)
('2', 'E', 'I', 128.53412698412706, 0.25)
('99', 'J', 'B', 129, 8)
('20', 'J', 'B', 129, 8)
('2', 'I', 'J', 129, 0.2)
('30', 'F', 'J', 129, 0.1527777777777778)
('57', 'G', 'I', 129, 0.25)
('3', 'D', 'E', 129, 0.16666666666666666)
('30', 'J', 'F', 135, 6.0)
('2', 'J', 'F', 135, 5.0)
('3', 'E', 'F', 135, 3.5)
('57', 'I', 'J', 135, 0.2)
['38', 'MA', 'F', 148.49285714285716, 0]
('30', 'F', 'J', 148.49285714285716, 0.125)
['45', 'B', 'MA', 150.6634542705971, 0]
('30', 'J', 'B', 150.6634542705971, 8)
['31', 'H', 'MA', 152.7777777777774, 0]
('81', 'E', 'H', 152.7777777777774, 0.30000000000000004)
['42', 'MA', 'B', 153.53412698412706, 0]
['28', 'D', 'MA', 160.27053571428584, 0]
('57', 'J', 'D', 160.27053571428584, 3.5)
('81', 'H', 'J', 160.27053571428584, 0.09999999999999998)
('48', 'I', 'H', 160.27053571428584, 0.19999999999999996)
['19', 'H', 'MA', 160.46666666666633, 0]
('81', 'J', 'I', 160.46666666666633, 0.19999999999999996)
['36', 'C', 'MA', 163.80952380952388, 0]
('5', 'J', 'C', 163.80952380952388, 8)
('81', 'I', 'J', 163.80952380952388, 0.13636363636363635)
('81', 'J', 'A', 164, 8)
('61', 'J', 'A', 164, 8)
('41', 'J', 'A', 164, 8)
('48', 'H', 'J', 164, 0.11538461538461536)
('63', 'I', 'J', 164, 0.08333333333333331)
['43', 'G', 'MA', 168.1269642857145, 0]
('48', 'J', 'G', 168.1269642857145, 2.5)
['25', 'G', 'MA', 172.5707142857145, 0]
('63', 'J', 'G', 172.5707142857145, 2.0)
['45', 'MA', 'B', 175.6634542705971, 0]
['31', 'MA', 'H', 177.7777777777774, 0]
('62', 'H', 'J', 177.7777777777774, 0.11538461538461536)
['20', 'B', 'MA', 180.03957946815078, 0]
['30', 'B', 'MA', 184.29605334197157, 0]
['28', 'MA', 'D', 185.27053571428584, 0]
('57', 'D', 'I', 185.27053571428584, 0.25)
['19', 'MA', 'H', 185.46666666666633, 0]
('57', 'I', 'J', 185.46666666666633, 0.08333333333333331)
('17', 'H', 'I', 185.46666666666633, 0.16666666666666663)
['36', 'MA', 'C', 188.80952380952388, 0]
('57', 'J', 'H', 188.80952380952388, 0.16666666666666674)
('17', 'I', 'J', 188.80952380952388, 0.08333333333333331)
('56', 'D', 'I', 191, 1.8333333333333333)
('28', 'D', 'J', 191, 0.8409090909090909)
('16', 'D', 'I', 191, 1.5)
('75', 'D', 'J', 191, 0.65)
('13', 'D', 'H', 191, 1.1)
('64', 'D', 'E', 191, 0.5714285714285714)
('90', 'D', 'J', 191, 0.3055555555555556)
('79', 'D', 'I', 191, 0.25)
['11', 'A', 'MA', 192.28514739229027, 0]
('28', 'J', 'A', 192.28514739229027, 8)
('56', 'I', 'J', 192.28514739229027, 0.16666666666666669)
['43', 'MA', 'G', 193.1269642857145, 0]
('63', 'G', 'D', 193.1269642857145, 0.16666666666666666)
['25', 'MA', 'G', 197.5707142857145, 0]
('63', 'D', 'I', 197.5707142857145, 0.25)
('48', 'G', 'D', 197.5707142857145, 0.16666666666666666)
['3', 'F', 'MA', 197.9478571428574, 0]
('56', 'J', 'F', 197.9478571428574, 4.0)
('48', 'D', 'J', 197.9478571428574, 0.19444444444444442)
('63', 'I', 'D', 197.9478571428574, 0.16666666666666663)
['20', 'MA', 'B', 205.03957946815078, 0]
('63', 'D', 'I', 205.03957946815078, 0.25)
['37', 'C', 'MA', 205.91666666666654, 0]
('63', 'I', 'D', 205.91666666666654, 0.16666666666666663)
['7', 'D', 'MA', 206.3563321136534, 0]
['49', 'A', 'MA', 206.57086167800458, 0]
('48', 'J', 'A', 206.57086167800458, 8)
['30', 'MA', 'B', 209.29605334197157, 0]
['44', 'C', 'MA', 210.82142857142853, 0]
('75', 'J', 'C', 210.82142857142853, 8)
('63', 'D', 'J', 210.82142857142853, 0.15000000000000002)
('64', 'E', 'D', 210.82142857142853, 0.1428571428571429)
['13', 'H', 'MA', 217.01093474426872, 0]
('64', 'D', 'H', 217.01093474426872, 0.30000000000000004)
['11', 'MA', 'A', 217.28514739229027, 0]
['26', 'F', 'MA', 218.64053571428582, 0]
('63', 'J', 'F', 218.64053571428582, 3.5)
('64', 'H', 'J', 218.64053571428582, 0.09999999999999998)
('16', 'I', 'H', 218.64053571428582, 0.19999999999999996)
['39', 'F', 'MA', 218.68392857142865, 0]
('64', 'J', 'F', 218.68392857142865, 3.5)
('16', 'H', 'I', 218.68392857142865, 0.19999999999999996)
['3', 'MA', 'F', 222.9478571428574, 0]
('64', 'F', 'J', 222.9478571428574, 0.125)
('16', 'I', 'H', 222.9478571428574, 0.19999999999999996)
['48', 'A', 'MA', 229.09528033777457, 0]
('16', 'H', 'I', 229.09528033777457, 0.19999999999999996)
('64', 'J', 'H', 229.09528033777457, 0.19999999999999996)
['12', 'G', 'MA', 230.1803571428573, 0]
('90', 'J', 'G', 230.1803571428573, 3.0)
('16', 'I', 'J', 230.1803571428573, 0.13636363636363635)
('64', 'H', 'I', 230.1803571428573, 0.19999999999999996)
['37', 'MA', 'C', 230.91666666666654, 0]
('64', 'I', 'J', 230.91666666666654, 0.09999999999999998)
['7', 'MA', 'D', 231.3563321136534, 0]
('7', 'D', 'I', 231.3563321136534, 0.30000000000000004)
('64', 'J', 'H', 231.3563321136534, 0.19999999999999996)
['49', 'MA', 'A', 231.57086167800458, 0]
('64', 'H', 'J', 231.57086167800458, 0.09999999999999998)
('7', 'I', 'H', 231.57086167800458, 0.19999999999999996)
['44', 'MA', 'C', 235.82142857142853, 0]
('64', 'J', 'I', 235.82142857142853, 0.19999999999999996)
('7', 'H', 'J', 235.82142857142853, 0.09999999999999998)
['13', 'MA', 'H', 242.01093474426872, 0]
['26', 'MA', 'F', 243.64053571428582, 0]
('63', 'F', 'D', 243.64053571428582, 0.16666666666666666)
['39', 'MA', 'F', 243.68392857142865, 0]
('56', 'F', 'E', 243.68392857142865, 0.16666666666666666)
['34', 'G', 'MA', 245.51571428571432, 0]
('7', 'J', 'G', 245.51571428571432, 3.5)
('56', 'E', 'J', 245.51571428571432, 0.15000000000000002)
('63', 'D', 'E', 245.51571428571432, 0.1428571428571429)
('56', 'J', 'G', 246, 8)
('16', 'J', 'G', 246, 8)
('17', 'J', 'G', 246, 8)
('63', 'E', 'J', 246, 0.25)
('64', 'I', 'J', 246, 0.13636363636363635)
('13', 'H', 'I', 246, 0.19999999999999996)
('75', 'C', 'J', 246, 0.525)
('5', 'C', 'H', 246, 0.85)
('36', 'C', 'D', 246, 0.45238095238095233)
('52', 'C', 'E', 246, 0.30952380952380953)
('85', 'C', 'J', 246, 0.125)
['16', 'G', 'MA', 251.17529454559974, 0]
('85', 'J', 'G', 251.17529454559974, 8)
['23', 'B', 'MA', 253.87773998488277, 0]
['48', 'MA', 'A', 254.09528033777457, 0]
['12', 'MA', 'G', 255.1803571428573, 0]
('63', 'J', 'F', 263, 8)
('75', 'J', 'F', 263, 8)
('64', 'J', 'F', 263, 8)
('36', 'D', 'J', 263, 0.25)
('52', 'E', 'J', 263, 0.20454545454545459)
('5', 'H', 'J', 263, 0.09999999999999998)
('13', 'I', 'H', 263, 0.19999999999999996)
['34', 'MA', 'G', 270.51571428571435, 0]
('36', 'J', 'I', 270.51571428571435, 0.19999999999999996)
('13', 'H', 'J', 270.51571428571435, 0.09999999999999998)
['16', 'MA', 'G', 276.17529454559974, 0]
('36', 'I', 'H', 276.17529454559974, 0.19999999999999996)
('13', 'J', 'I', 276.17529454559974, 0.19999999999999996)
['23', 'MA', 'B', 278.87773998488274, 0]
('36', 'H', 'J', 278.87773998488274, 0.09999999999999998)
('13', 'I', 'H', 278.87773998488274, 0.19999999999999996)
['81', 'A', 'MA', 281.0400596250429, 0]
('36', 'J', 'I', 281.0400596250429, 0.19999999999999996)
('13', 'H', 'J', 281.0400596250429, 0.09999999999999998)
['24', 'A', 'MA', 286.9994331065759, 0]
('36', 'I', 'H', 286.9994331065759, 0.19999999999999996)
('13', 'J', 'I', 286.9994331065759, 0.19999999999999996)
['6', 'C', 'MA', 288.3562499999999, 0]
('52', 'J', 'C', 288.3562499999999, 3.0)
('36', 'H', 'J', 288.3562499999999, 0.13636363636363635)
('13', 'I', 'J', 288.3562499999999, 0.09999999999999998)
['1', 'B', 'MA', 299.59183673469414, 0]
('36', 'J', 'I', 299.59183673469414, 0.19999999999999996)
['27', 'A', 'MA', 305.14229024943324, 0]
('13', 'J', 'A', 305.14229024943324, 8)
('36', 'I', 'J', 305.14229024943324, 0.13636363636363635)
['81', 'MA', 'A', 306.0400596250429, 0]
['40', 'G', 'MA', 307.1303854875281, 0]
['35', 'A', 'MA', 308.5512265512266, 0]
